HD 13189 b,14,,471.6,1.85,,radial vel.,2005,979,,,,https://en.wikipedia.org/wiki/HD_13189_b
HD 13931 b,1.88,,4218,5.15,,radial vel.,2009,148.5,1.02,5829,,https://en.wikipedia.org/wiki/HD_13931_b
HD 16175 b,4.77,,995.4,2.148,,radial vel.,2009,195.2,1.34,6022,,https://en.wikipedia.org/wiki/HD_16175_b
HD 16417 b,0.0696,,17.24,0.14,,radial vel.,2008,83.3,1.2,,,https://en.wikipedia.org/wiki/HD_16417_b
HD 17092 b,4.6,,359.9,,,radial vel.,2007,355,2.3,4650,,https://en.wikipedia.org/wiki/HD_17092_b
HD 17156 b,3.22,1.02,21.21663,0.1614,,radial vel.,2007,240,1.24,6100,,https://en.wikipedia.org/wiki/HD_17156_b
HD 20782 b,1.43,,597.065,1.397,,radial vel.,2006,116,1.02,5798,Has the most eccentric orbit of any known exoplanet[5],https://en.wikipedia.org/wiki/HD_20782_b
HD 20868 b,1.99,,380.85,0.947,,radial vel.,2008,159,0.78,4795,,https://en.wikipedia.org/wiki/HD_20868_b
HD 23079 b,2.45,,730.6,1.596,,radial vel.,2001,113,1.01,5927,,https://en.wikipedia.org/wiki/HD_23079_b
HD 23127 b,1.5,,1214,2.4,,radial vel.,2006,290.7,1.13,,,https://en.wikipedia.org/wiki/HD_23127_b
HD 23596 b,7.71,,1561,2.772,,radial vel.,2003,170,1.16,5904,,https://en.wikipedia.org/wiki/HD_23596_b
HD 24040 b,4.01,,3668,4.92,,radial vel.,2006,151.7,1.18,5853,,https://en.wikipedia.org/wiki/HD_24040_b
HD 27894 b,0.645,,17.9904,0.125,,radial vel.,2005,138.2,0.8,4875,,https://en.wikipedia.org/wiki/HD_27894_b
HD 28185 b,5.59,,385.9,1.032,,radial vel.,2001,129,0.98,5546,,https://en.wikipedia.org/wiki/HD_28185_b
HD 30177 b,8.08,,2524.4,3.58,,radial vel.,2002,178.4,0.99,5580,,https://en.wikipedia.org/wiki/HD_30177_b
HD 30562 b,1.373,,1159.2,2.315,,radial vel.,2009,86,1.23,5994,,https://en.wikipedia.org/wiki/HD_30562_b
HD 32518 b,3.04,,157.54,0.59,,radial vel.,2009,382.8,1.13,4580,,https://en.wikipedia.org/wiki/HD_32518_b
HD 33283 b,0.33,,18.179,0.145,,radial vel.,2006,283.4,1.24,5995,,https://en.wikipedia.org/wiki/HD_33283_b
HD 33564 b,9.1,,388,1.1,,radial vel.,2005,68.4,1.25,6250,,https://en.wikipedia.org/wiki/HD_33564_b
HD 34445 b,0.79,,1049,2.07,,radial vel.,2009,146.8,1.07,5836,,https://en.wikipedia.org/wiki/HD_34445_b
HD 37124 b,0.675,,154.378,0.53364,,radial vel.,2002,108.4,0.85,,,https://en.wikipedia.org/wiki/HD_37124_b
HD 37124 c,0.652,,885.5,1.71,,radial vel.,2002,108.4,0.85,,,https://en.wikipedia.org/wiki/HD_37124_c
HD 37124 d,0.696,,1862,2.807,,radial vel.,2005,108.4,0.85,,,https://en.wikipedia.org/wiki/HD_37124_d
HD 37605 b,2.802,,55.01307,0.2831,,radial vel.,2004,139.9,1,5448,,https://en.wikipedia.org/wiki/HD_37605_b
HD 38529 b,0.839,,14.3098,0.131,,radial vel.,2000,138,1.48,5697,,https://en.wikipedia.org/wiki/HD_38529_b
HD 38529 c,13.38,,2140.2,3.712,,radial vel.,2000,138,1.48,5697,,https://en.wikipedia.org/wiki/HD_38529_c
HD 38801 b,10.7,,696.3,1.7,,radial vel.,2009,324,1.36,5222,,https://en.wikipedia.org/wiki/HD_38801_b
HD 40307 b,0.0126,,4.3123,0.0468,,radial vel.,2008,41.8,0.77,4956,,https://en.wikipedia.org/wiki/HD_40307_b
HD 40307 c,0.0208,,9.6184,0.0799,,radial vel.,2008,41.8,0.77,4956,,https://en.wikipedia.org/wiki/HD_40307_c
HD 40307 d,0.0299,,20.432,0.1321,,radial vel.,2008,41.8,0.77,4956,,https://en.wikipedia.org/wiki/HD_40307_d
HD 40979 b,4.01,,264.15,0.846,,radial vel.,2002,109,1.15,6089,,https://en.wikipedia.org/wiki/HD_40979_b
HD 41004 Ab,2.54,,963,,,radial vel.,2004,140.3,0.7,5010,,https://en.wikipedia.org/wiki/HD_41004_Ab
HD 41004 Bb,18.37,,1.3283,,,radial vel.,2003,140.3,0.4,,,https://en.wikipedia.org/wiki/HD_41004_Bb
